	Lemat	Część mowy	Frekwencja
836	powstać	praet	36143
837	wiadomość	subst	36114
838	czerwony	adj	36101
839	pewność	subst	36077
840	dodawać	fin	35994
841	wola	subst	35964
842	jasny	adj	35902
843	niemal	part	35874
844	postanowić	praet	35851
845	województwo	subst	35851
846	pracować	fin	35737
847	pisać	fin	35734
848	Stanisław	subst	35720
849	wcale	adv	35707
850	pozycja	brev	35697
851	dany	adj	35655
852	zawrzeć	ppas	35545
853	przeciwko	prep	35532
854	student	subst	35463
855	pies	subst	35436
856	opieka	subst	35371
857	obok	prep	35281
858	wyborczy	adj	35263
859	wydział	subst	35199
860	listopad	subst	35161
861	wyraźnie	adv	35105
862	23	dig	35067
863	powiatowy	adj	35004
864	teatr	subst	34997
865	parę	num	34989
866	Łódź	subst	34985
867	pomiędzy	prep	34984
868	zwierzę	subst	34972
869	określić	ppas	34966
870	dowód	subst	34930
871	stawać	fin	34830
872	drzewo	subst	34798
873	ksiądz	subst	34691
874	trafić	praet	34672
875	prokuratura	subst	34604
876	karny	adj	34585
877	zarzut	subst	34544
878	Wrocław	subst	34541
879	zachowanie	subst	34486
880	Jacek	subst	34463
881	światowy	adj	34432
882	los	subst	34430
883	60	dig	34419
884	znaleźć	inf	34406
885	poszczególny	adj	34233
886	2000	dig	34181
887	krew	subst	34117
888	wyłącznie	part	34097
889	zakup	subst	34068
890	zgoda	subst	34054
891	luty	subst	33976
892	szczególny	adj	33968
893	kandydat	subst	33886
894	stały	adj	33859
895	wojewódzki	adj	33837
896	wojskowy	adj	33814
897	świadczenie	subst	33792
898	sezon	subst	33738
899	wymagać	fin	33701
900	strata	subst	33698
901	płyta	subst	33676
902	kilometr	brev	33670
903	przypominać	fin	33641
904	mistrz	subst	33618
905	kategoria	subst	33578
906	III	romandig	33572
907	wersja	subst	33533
908	dawny	adj	33530
909	użytkownik	subst	33370
910	rodzinny	adj	33364
911	koncert	subst	33238
912	obrona	subst	33222
913	imienie	subst	33203
914	szybki	adj	33202
915	Rosja	subst	33186
916	stwierdzić	praet	33166
917	ilość	subst	33110
918	bramka	subst	33001
919	sekunda	brev	32983
920	warszawski	adj	32935
921	ostatnio	adv	32840
922	mówić	inf	32840
923	metr	subst	32827
924	sobota	subst	32725
925	placówka	subst	32696
926	wydarzenie	subst	32575
927	stół	subst	32562
928	SA	subst	32512
929	rzeczywistość	subst	32463
930	ciężki	adj	32408
931	pozwalać	fin	32398
932	finanse	subst	32362
933	średni	adj	32354
934	ku	prep	32252
935	stąd	adv	32245
936	oprócz	prep	32191
937	zwykle	adv	32187
938	pewnie	part	32174
939	Józef	subst	32093
940	prowadzić	ppas	32082
941	K	brev	32068
942	Maria	subst	32028
943	powiedzieć	fin	32016
944	kilkanaście	num	32016
945	pacjent	subst	31978
946	napisać	praet	31954
947	znaleźć	fin	31868
948	praktyka	subst	31838
949	ofiara	subst	31797
950	racja	subst	31794
951	rozpocząć	praet	31777
952	pojazd	subst	31767
953	lokalny	adj	31760
954	podmiot	subst	31730
955	córka	subst	31723
956	dziwny	adj	31711
957	polityk	subst	31663
958	zostać	inf	31592
959	wyglądać	fin	31588
960	trakt	subst	31572
961	moc	subst	31565
962	żyć	fin	31550
963	skarb	subst	31528
964	profesor	subst	31507
965	szkoda	subst	31497
966	należeć	praet	31488
967	obywatel	subst	31483
968	zagrożenie	subst	31433
969	sędzia	subst	31424
970	wystarczyć	fin	31408
971	Marcin	subst	31408
972	działać	fin	31358
973	naród	subst	31318
974	wysoko	adv	31276
975	burmistrz	subst	31210
976	litr	brev	31155
977	wprowadzić	ger	31150
978	stowarzyszenie	subst	31143
979	region	subst	31099
980	szeroki	adj	31077
981	fizyczny	adj	31044
982	wojsko	subst	31014
983	wrócić	praet	30982
984	USA	subst	30976
985	mieć	pact	30960
986	niedziela	subst	30924
987	agencja	subst	30924
988	urządzenie	subst	30917
989	różnica	subst	30891
990	zainteresowanie	subst	30858
991	medium	subst	30818
992	dzieło	subst	30801
993	zawód	subst	30785
994	właściwie	part	30781
995	szkolny	adj	30699
996	internetowy	adj	30653
997	zależeć	fin	30634
998	ponadto	part	30632
999	prowadzić	ger	30520
1000	struktura	subst	30487
1001	zdobyć	praet	30440
1002	dodatek	subst	30396
1003	ogólny	adj	30360
1004	trwać	fin	30346
1005	szczególnie	part	30340
1006	zdarzenie	subst	30268
1007	80	dig	30201
1008	2002	dig	30099
1009	26	dig	30078
1010	ryzyko	subst	30056
1011	emerytalny	adj	30056
1012	czytelnik	subst	30052
1013	+	interp	30030
1014	kłopot	subst	29905
1015	adres	subst	29900
1016	pracować	praet	29877
1017	robić	inf	29822
1018	opowiadać	fin	29794
1019	dziać	fin	29774
1020	powietrze	subst	29754
1021	papier	subst	29737
1022	blisko	adv	29706
1023	przyjąć	praet	29667
1024	przerwa	subst	29651
1025	miara	subst	29640
1026	analiza	subst	29632
1027	dolar	subst	29587
1028	piłkarz	subst	29584
1029	zabawa	subst	29581
1030	ramię	subst	29521
1031	czynność	subst	29516
1032	sport	subst	29480
1033	dłoń	subst	29431
1034	śląski	adj	29397
1035	ciągle	adv	29384
1036	skąd	adv	29369
1037	sprzęt	subst	29356
1038	28	dig	29303
1039	cytat	subst	29276
1040	proponować	fin	29267
1041	czwarty	adj	29243
1042	zwycięstwo	subst	29238
1043	energia	subst	29219
1044	gdzieś	adv	29189
1045	techniczny	adj	29181
1046	mocno	adv	29179
1047	studia	subst	29154
1048	zająć	praet	29145
1049	myśleć	praet	29123
1050	zachodni	adj	29118
1051	dzisiejszy	adj	29041
1052	konkretny	adj	28982
1053	relacja	subst	28954
1054	niewielki	adj	28941
1055	wiara	subst	28923
1056	27	dig	28893
1057	Zbigniew	subst	28887
1058	uniwersytet	subst	28724
1059	zwać	ppas	28715
1060	zmienić	praet	28712
1061	prokurator	subst	28701
1062	święty	brev	28670
1063	wystawa	subst	28634
1064	król	subst	28632
1065	Tadeusz	subst	28568
1066	turniej	subst	28527
